weather_code,temperature_2m_max,temperature_2m_mean,sunshine_duration,precipitation_sum,rain_sum,wind_speed_10m_max,label
63,25.1,20.8,27382.99,18.8,18.8,11,el nino
51,25.7,21,39014.07,0.6,0.6,9.8,el nino
63,25.4,20.5,31082.72,13.5,13.5,9.3,el nino
2,25.6,20.6,39215.45,0,0,6.5,el nino
3,25.4,20.2,39318.59,0,0,11.6,el nino
2,25.9,20.2,38114.51,0,0,11.3,el nino
61,25.7,21.2,38284.79,4.3,4.3,8.1,el nino
51,26.2,21.1,38035.49,0.3,0.3,8.7,el nino
51,26.1,20.6,39536.1,0.2,0.2,9.1,el nino
2,25.9,19.9,39646.1,0,0,8.4,el nino
1,26,19.8,39721.83,0,0,8.9,el nino
2,25.6,19.4,39644.8,0,0,11.2,el nino
1,25.3,19.2,39751.16,0,0,10.4,el nino
2,25.8,20.1,39563.41,0,0,11.1,el nino
3,25.8,20.6,38817.93,0,0,9.7,el nino
3,26.2,21.3,39798.76,0,0,9.4,el nino
51,25.7,21.3,36522,1.9,1.9,8.4,el nino
51,26.1,21.1,38402.61,0.5,0.5,6.1,el nino
3,26,21.4,39169.67,0,0,8.8,el nino
2,26.5,20.5,39396.33,0,0,9.8,el nino
2,25.7,20.3,39886.12,0,0,11.9,el nino
3,25.9,20.1,39744.84,0,0,10,el nino
3,26.2,19.8,39923.35,0,0,11.4,el nino
3,26.1,19.7,39110.08,0,0,7.8,el nino
1,27.8,21.3,39961.61,0,0,8.3,el nino
53,27.7,21.5,39244.25,1,1,12.4,el nino
51,28.3,22,39257.42,1,1,11.2,el nino
51,28.6,22.4,39933.05,0.1,0.1,9.8,el nino
1,28,21.3,40040.61,0,0,12.2,el nino
53,27,20.8,39963.5,1.6,1.6,8.5,el nino
3,27.8,21.2,39869.14,0,0,9.1,el nino
3,28.2,21.8,39996.48,0,0,10.8,el nino
2,28.2,21.5,40050.72,0,0,9.7,el nino
3,28.3,21.8,40144.35,0,0,11,el nino
3,28.3,21.2,40166.01,0,0,9.8,el nino
1,27.9,20.6,40187.93,0,0,13,el nino
1,27.8,21.6,39150.83,0,0,10.8,el nino
1,28,21.2,40232.42,0,0,14,el nino
51,28.9,21.4,40254.96,0.2,0.2,13.6,el nino
51,28.6,21.6,40153.7,0.2,0.2,11.2,el nino
51,28.6,21.6,40300.52,0.6,0.6,15.4,el nino
51,27.4,21.8,40308.05,0.5,0.5,13,el nino
3,28.7,22.2,40346.57,0,0,12.7,el nino
51,29.2,22.4,40369.72,0.7,0.7,10.8,el nino
3,28.9,22,40392.93,0,0,13,el nino
3,28.3,21.1,39963.84,0,0,11.5,el nino
3,27.7,21.3,40439.48,0,0,11.5,el nino
51,29.3,22.5,40462.77,0.2,0.2,9.4,el nino
51,29.7,22.7,40486.05,0.2,0.2,11.7,el nino
51,29.6,22.8,40498.07,0.1,0.1,9.8,el nino
3,29.3,22.4,40198.15,0,0,16.5,el nino
3,27.8,21.6,39576.14,0,0,14.5,el nino
51,28.6,22.9,40359.08,0.1,0.1,13,el nino
3,28.7,22.7,39633.62,0,0,13.9,el nino
3,30.5,22.3,40626.64,0,0,13.2,el nino
55,28.8,24.1,32950.72,3.4,3.4,6.4,el nino
51,27.3,24.6,27559.05,0.4,0.4,10.9,el nino
51,27.2,24.6,34212.25,0.7,0.7,13.5,el nino
53,27.8,24.5,28807.84,1.9,1.9,10.5,el nino
53,28.7,24.5,36533.69,1.8,1.8,13.2,el nino
61,27.9,24.4,33742.36,4.4,4.4,7.5,el nino
51,27.7,24.8,35125.85,0.5,0.5,16.9,el nino
51,28.9,24.8,37081.22,0.8,0.8,10,el nino
51,27.6,23.8,38151.65,0.1,0.1,14.7,el nino
3,27.3,23.3,37686.64,0,0,22.3,el nino
1,27.3,23,37696.88,0,0,17.1,el nino
51,28.3,24.2,29654.08,1.1,1.1,21.8,el nino
2,28.3,24.2,33834.88,0,0,16,el nino
3,28.7,24.4,34766.66,0,0,15.7,el nino
3,28.6,23.7,37008.67,0,0,16.9,el nino
3,28.6,23,38888.18,0,0,15.9,el nino
3,27.8,23.4,29162.64,0,0,19.8,el nino
2,28.3,24.1,37954.17,0,0,21.2,el nino
3,28.4,24.3,37975.94,0,0,20.9,el nino
51,28.4,23.9,34021.81,0.1,0.1,19.7,el nino
3,28.1,24,37987.11,0,0,19.5,el nino
2,27.5,23.7,37997.45,0,0,20.2,el nino
3,28.8,24.2,39081.6,0,0,16.5,el nino
51,27.8,24.2,37052.33,1.9,1.9,15,el nino
51,27.2,23.6,31882.33,0.4,0.4,18.9,el nino
51,28.4,24.2,36618.8,0.3,0.3,17.7,el nino
3,28.9,23.3,38586,0,0,19.7,el nino
3,28.2,22.7,37914.35,0,0,19,el nino
2,29,23.4,37284.61,0,0,19.9,el nino
3,31.1,24.7,37507.61,0,0,11.5,el nino
3,31.6,24.8,39337.38,0,0,12.4,el nino
3,31.3,24.1,39692.4,0,0,14.3,el nino
1,31.5,24.7,39715.77,0,0,13.8,el nino
3,31,24.5,38753.88,0,0,13.3,el nino
1,30.3,24.7,39655.87,0,0,18.5,el nino
2,30.7,25.1,39553.29,0,0,17.1,el nino
1,30.3,24.3,39811.5,0,0,20.3,el nino
3,29.4,24.1,38094.4,0,0,21.3,el nino
3,29.3,23.4,39861.01,0,0,18.2,el nino
3,31.2,23.5,39886.37,0,0,17.1,el nino
3,31.8,24.6,38935.05,0,0,13.6,el nino
3,30.5,24.8,39041.81,0,0,13.6,el nino
3,30.9,24.7,38833.56,0,0,17.9,el nino
3,31.2,24.6,39421.37,0,0,13.5,el nino
2,30.9,24.7,38529.52,0,0,18.4,el nino
3,32.1,24.7,39786.5,0,0,16.4,el nino
3,31.4,25.2,35949.01,0,0,14.8,el nino
3,28.8,24.5,36129.65,0,0,19.6,el nino
3,28.6,24.3,35131.4,0,0,20.1,el nino
2,31.6,24.9,40155.96,0,0,17.4,el nino
2,30.4,24.8,40183.92,0,0,18.7,el nino
2,30.5,24,40211.98,0,0,19.2,el nino
1,31,23.6,40240.11,0,0,17.8,el nino
3,31.7,24.8,38818.51,0,0,17.8,el nino
1,31.4,25.1,40296.46,0,0,24.5,el nino
1,30.6,24.5,40324.65,0,0,21.6,el nino
1,31.4,24.6,40352.78,0,0,18.4,el nino
2,31.8,25,40380.86,0,0,17.1,el nino
2,31.1,24.7,40409.19,0,0,15.6,el nino
1,32.1,24.7,40437.72,0,0,16.4,el nino
3,31.6,25,40466.44,0,0,16.8,el nino
1,31.3,24.4,40495.32,0,0,13.7,el nino
1,32,24.5,40524.34,0,0,16.9,el nino
1,31.7,24.3,40553.48,0,0,17.4,el nino
1,31.3,23.8,40582.72,0,0,15.2,el nino
3,30.8,24.2,40612.03,0,0,15.4,el nino
3,31.5,25,40641.39,0,0,14.5,el nino
51,29.9,24.4,40670.79,0.4,0.4,20.4,el nino
3,30.6,24.2,37525.08,0,0,21.6,el nino
1,32,24.3,40729.6,0,0,17.9,el nino
1,32.9,25.2,40758.97,0,0,19.5,el nino
51,32.7,25.7,40788.3,0.2,0.2,19.8,el nino
53,32.6,26.3,40817.56,1.1,1.1,22.6,el nino
1,33,26.2,40846.74,0,0,19.2,el nino
1,32.8,26.1,40875.82,0,0,17.8,el nino
3,32.4,26,39953.22,0,0,14.1,el nino
1,32.5,25.6,40933.55,0,0,22.5,el nino
